infinitiv,form,example,verb,english
laden,Konjunktiv II 3. Pers.,Wenn er doch …,lüde,load/charge sth.
lassen,Präteritum 3. Pers.,Er …,liess,let
lassen,Partizip II,Er hat/ist …,gelassen,let
lassen,Präsens 2. Pers.,Du …,lässt,let
lassen,Konjunktiv II 3. Pers.,Wenn er doch …,liesse,let
lassen,Präsens 2. Pers.,Du …,lässest,let
laufen,Präteritum 3. Pers.,Er …,lief,run
laufen,Partizip II,Er hat/ist …,gelaufen,run
laufen,Präsens 2. Pers.,Du …,läufst,run
laufen,Konjunktiv II 3. Pers.,Wenn er doch …,liefe,run
leiden,Präteritum 3. Pers.,Er …,litt,suffer
leiden,Partizip II,Er hat/ist …,gelitten,suffer
leiden,Präsens 2. Pers.,Du …,leidest,suffer
leiden,Konjunktiv II 3. Pers.,Wenn er doch …,litte,suffer
leihen,Präteritum 3. Pers.,Er …,lieh,lend
leihen,Partizip II,Er hat/ist …,geliehen,lend
leihen,Präsens 2. Pers.,Du …,leihst,lend
leihen,Konjunktiv II 3. Pers.,Wenn er doch …,liehe,lend
lesen,Präteritum 3. Pers.,Er …,las,read (sth.)
lesen,Partizip II,Er hat/ist …,gelesen,read (sth.)
lesen,Präsens 2. Pers.,Du …,liest,read (sth.)
lesen,Konjunktiv II 3. Pers.,Wenn er doch …,läse,read (sth.)
lesen,Präsens 2. Pers.,Du …,liesest,read (sth.)
liegen,Präteritum 3. Pers.,Er …,lag,lie
liegen,Partizip II,Er hat/ist …,gelegen,lie
liegen,Präsens 2. Pers.,Du …,liegst,lie
liegen,Konjunktiv II 3. Pers.,Wenn er doch …,läge,lie
löschen (erlöschen),Präteritum 3. Pers.,Er …,losch,erase
löschen (erlöschen),Partizip II,Er hat/ist …,geloschen,erase
löschen (erlöschen),Präsens 2. Pers.,Du …,lischst,erase
löschen (erlöschen),Konjunktiv II 3. Pers.,Wenn er doch …,lösche,erase
löschen (einen Brand),Präteritum 3. Pers.,Er …,löschte,extinguish
löschen (einen Brand),Partizip II,Er hat/ist …,gelöscht,extinguish
löschen (einen Brand),Präsens 2. Pers.,Du …,löschst,extinguish
löschen (einen Brand),Konjunktiv II 3. Pers.,Wenn er doch …,löschte,extinguish
lügen,Präteritum 3. Pers.,Er …,log,lie/deceive
lügen,Partizip II,Er hat/ist …,gelogen,lie/deceive
lügen,Präsens 2. Pers.,Du …,lügst,lie/deceive
lügen,Konjunktiv II 3. Pers.,Wenn er doch …,löge,lie/deceive
mahlen,Präteritum 3. Pers.,Er …,mahlte,grind
mahlen,Partizip II,Er hat/ist …,gemahlen,grind
mahlen,Präsens 2. Pers.,Du …,mahlst,grind
mahlen,Konjunktiv II 3. Pers.,Wenn er doch …,mahlte,grind
meiden,Präteritum 3. Pers.,Er …,mied,shun sb. sth.
meiden,Partizip II,Er hat/ist …,gemieden,shun sb. sth.
meiden,Präsens 2. Pers.,Du …,meidest,shun sb. sth.
meiden,Konjunktiv II 3. Pers.,Wenn er doch …,miede,shun sb. sth.
melken,Präteritum 3. Pers.,Er …,molk,milk sth.
melken,Partizip II,Er hat/ist …,gemolken,milk sth.
melken,Präsens 2. Pers.,Du …,milkst,milk sth.
melken,Konjunktiv II 3. Pers.,Wenn er doch …,mölke,milk sth.
melken,Präteritum 3. Pers.,Er …,melkte,milk sth.
melken,Partizip II,Er hat/ist …,gemelkt,milk sth.
melken,Präsens 2. Pers.,Du …,melkst,milk sth.
melken,Konjunktiv II 3. Pers.,Wenn er doch …,melkte,milk sth.
messen,Präteritum 3. Pers.,Er …,mass,measure
messen,Partizip II,Er hat/ist …,gemessen,measure
messen,Präsens 2. Pers.,Du …,misst,measure
messen,Konjunktiv II 3. Pers.,Wenn er doch …,mässe,measure
messen,Präsens 2. Pers.,Du …,misstest,measure
misslingen,Präteritum 3. Pers.,Er …,misslang,fail
misslingen,Partizip II,Er hat/ist …,misslungen,fail
misslingen,Präsens 3. Pers.,Es …,misslingt,fail
misslingen,Konjunktiv II 3. Pers.,Wenn er doch …,misslänge,fail
mögen,Präteritum 3. Pers.,Er …,mochte,like
mögen,Partizip II,Er hat/ist …,gemocht,like
mögen,Präsens 2. Pers.,Du …,magst,like
mögen,Konjunktiv II 3. Pers.,Wenn er doch …,möchte,like
müssen,Präteritum 3. Pers.,Er …,musste,be obliged/forced
müssen,Partizip II,Er hat/ist …,gemusst,be obliged/forced
müssen,Präsens 2. Pers.,Du …,musst,be obliged/forced
müssen,Konjunktiv II 3. Pers.,Wenn er doch …,müsste,be obliged/forced
nehmen,Präteritum 3. Pers.,Er …,nahm,take sth.
nehmen,Partizip II,Er hat/ist …,genommen,take sth.
nehmen,Präsens 2. Pers.,Du …,nimmst,take sth.
nehmen,Konjunktiv II 3. Pers.,Wenn er doch …,nähme,take sth.
nennen,Präteritum 3. Pers.,Er …,nannte,mention sb. sth.
nennen,Partizip II,Er hat/ist …,genannt,mention sb. sth.
nennen,Präsens 2. Pers.,Du …,nennst,mention sb. sth.
nennen,Konjunktiv II 3. Pers.,Wenn er doch …,nennte,mention sb. sth.
niesen,Präteritum 3. Pers.,Er …,nieste,sneeze
niesen,Partizip II,Er hat/ist …,geniest,sneeze
niesen,Präsens 2. Pers.,Du …,niest,sneeze
niesen,Konjunktiv II 3. Pers.,Wenn er doch …,nieste,sneeze
pfeifen,Präteritum 3. Pers.,Er …,pfiff,whistle
